# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
5.300000000000000000e+01,8.832307692307691127e+01,4.644354724666865764e+01,1.302026065994851649e+02,9.461753846153843028e+01,6.873687279236968095e+01,1.204982041307071796e+02,7.879999999999999505e-02,-2.277159150090679596e-01,3.853159150090679219e-01,8.823399999999999466e+01
5.400000000000000000e+01,8.710461538461534303e+01,5.032342273749772943e+01,1.238858080317329495e+02,9.468876923076922481e+01,6.856759064340644727e+01,1.208099478181320023e+02,7.436923076923077081e-02,-2.291652087534226945e-01,3.779036702918842083e-01,8.823399999999999466e+01
5.500000000000000000e+01,8.976615384615386972e+01,4.105406001713538444e+01,1.384782476751723550e+02,9.621753846153841039e+01,6.814901072449021058e+01,1.242860661985866102e+02,7.156923076923077387e-02,-2.301186858818251024e-01,3.732571474202866502e-01,8.823399999999999466e+01
5.600000000000000000e+01,9.089999999999997726e+01,4.398720036886764717e+01,1.378127996311322931e+02,9.694338461538461615e+01,6.707313220075629090e+01,1.268136370300129414e+02,6.867692307692302434e-02,-2.333768728292066053e-01,3.707307189830526539e-01,8.823399999999999466e+01
5.700000000000000000e+01,8.748923076923077247e+01,4.707275993377929524e+01,1.279057016046822497e+02,9.711046153846154994e+01,6.661260777131316502e+01,1.276083153056099349e+02,6.306153846153843279e-02,-2.385255902641711945e-01,3.646486671872480878e-01,8.823399999999999466e+01
5.800000000000000000e+01,8.273538461538466038e+01,5.126768967514362885e+01,1.142030795556256919e+02,9.729092307692307884e+01,6.678988835434475391e+01,1.277919577995014038e+02,5.475384615384614601e-02,-2.426705349671492429e-01,3.521782272748415488e-01,8.823399999999999466e+01
5.900000000000000000e+01,8.524461538461541465e+01,4.708286638918109901e+01,1.234063643800497232e+02,9.710669230769227056e+01,6.633927279792608545e+01,1.278741118174584557e+02,4.553846153846156236e-02,-2.455775912875853562e-01,3.366545143645084948e-01,8.823399999999999466e+01
6.000000000000000000e+01,8.597130769230766134e+01,4.352283246122560456e+01,1.284197829233897323e+02,9.675215384615381708e+01,6.537984466985545851e+01,1.281244630224521757e+02,4.130769230769228834e-02,-2.473353890269671951e-01,3.299507736423517579e-01,8.823399999999999466e+01
6.100000000000000000e+01,8.819384615384615245e+01,4.847560048446575820e+01,1.279120918232265467e+02,9.721446153846154914e+01,6.369743619630174436e+01,1.307314868806213610e+02,3.638461538461535555e-02,-2.490240089423952918e-01,3.217932397116259891e-01,8.823399999999999466e+01
6.200000000000000000e+01,8.400307692307691809e+01,4.827308103842616305e+01,1.197330728077276660e+02,9.673569230769231808e+01,6.266037830296581035e+01,1.308110063124188400e+02,2.869230769230768363e-02,-2.548325886817238151e-01,3.122172040663391823e-01,8.793299999999999272e+01
